
=== OneRoom  lagrange_mult=0.001  (20260802_232246) ===
280000-285000   0.2747          5    
285000-290000   0.2801          5    
290000-295000   0.2234          5    
295000-300000   0.1682          5    

=== TwoRoom  lagrange_mult=0.1  (20260802_232246) ===
steps           avg loss_total  n    
     0-5000     0.4627          6    
  5000-10000    0.4460          5    
 10000-15000    0.4463          5    
 15000-20000    0.4379          5    
 20000-25000    0.4069          5    
 25000-30000    0.3897          5    
 30000-35000    0.3796          5    
 35000-40000    0.3851          5    
 40000-45000    0.3504          5    
 45000-50000    0.3385          5    
 50000-55000    0.3511          5    
 55000-60000    0.3412          5    
 60000-65000    0.3547          5    
 65000-70000    0.3457          5    
 70000-75000    0.3293          5    
 75000-80000    0.3916          5    
 80000-85000    0.3294          5    
 85000-90000    0.3000          5    
 90000-95000    0.3642          5    
 95000-100000   0.2944          5    
100000-105000   0.3245          5    
105000-110000   0.2081          5    
110000-115000   0.2389          5    
115000-120000   0.3121          5    
120000-125000   0.3114          5    
125000-130000   0.3154          5    
130000-135000   0.2974          5    
135000-140000   0.2932          5    
140000-145000   0.2976          5    
145000-150000   0.2653          5    
150000-155000   0.2849          5    
155000-160000   0.3100          5    
160000-165000   0.3194          5    
165000-170000   0.3356          5    
170000-175000   0.4050          5    
175000-180000   0.3109          5    
180000-185000   0.3231          5    
185000-190000   0.3118          5    
190000-195000   0.2213          5    
195000-200000   0.2848          5    
200000-205000   0.2348          5    
205000-210000   0.2493          5    
210000-215000   0.2950          5    
215000-220000   0.3322          5    
220000-225000   0.3702          5    
225000-230000   0.2818          5    
230000-235000   0.3521          5    
235000-240000   0.2238          5    
240000-245000   0.2506          5    
245000-250000   0.3176          5    
250000-255000   0.2564          5    
255000-260000   0.3012          5    
260000-265000   0.2870          5    
265000-270000   0.2554          5    
270000-275000   0.2869          5    
275000-280000   0.2902          5    
280000-285000   0.3090          5    
285000-290000   0.6290          5    
290000-295000   0.2790          5    
295000-300000   0.2985          5    

=== TwoRoom  lagrange_mult=0.3  (20260802_232246) ===
steps           avg loss_total  n    
     0-5000     0.4639          6    
  5000-10000    0.4507          5    
 10000-15000    0.4572          5    
 15000-20000    0.4408          5    
 20000-25000    0.4115          5    
 25000-30000    0.4011          5    
 30000-35000    0.3834          5    
 35000-40000    0.3701          5    
 40000-45000    0.4017          5    
 45000-50000    0.3314          5    
 50000-55000    0.3414          5    
 55000-60000    0.3061          5    
 60000-65000    0.3087          5    
 65000-70000    0.3091          5    
 70000-75000    0.3330          5    
 75000-80000    0.2890          5    
 80000-85000    0.2735          5    
 85000-90000    0.2746          5    
 90000-95000    0.3621          5    
 95000-100000   0.3451          5    
100000-105000   0.3014          5    
105000-110000   0.2868          5    
110000-115000   0.2693          5    
115000-120000   0.2662          5    
120000-125000   0.3077          5    
125000-130000   0.2382          5    
130000-135000   0.2990          5    
135000-140000   0.3345          5    
140000-145000   0.3242          5    
145000-150000   0.1976          5    
150000-155000   0.3203          5    
155000-160000   0.7611          5    
160000-165000   0.3453          5    
165000-170000   0.4050          5    
170000-175000   0.2566          5    
175000-180000   0.2642          5    
180000-185000   0.2820          5    
185000-190000   0.3270          5    
190000-195000   0.2677          5    
195000-200000   0.6060          5    
200000-205000   0.3047          5    
205000-210000   0.2451          5    
210000-215000   0.2805          5    
215000-220000   0.3279          5    
220000-225000   0.2344          5    
225000-230000   0.2245          5    
230000-235000   0.2675          5    
235000-240000   0.2197          5    
240000-245000   0.3322          5    
245000-250000   0.3535          5    
250000-255000   0.1531          5    
255000-260000   0.2987          5    
260000-265000   0.2139          5    
265000-270000   0.2390          5    
270000-275000   0.3053          5    
275000-280000   0.2376          5    
280000-285000   0.3388          5    
285000-290000   0.2710          5    
290000-295000   0.3063          5    
295000-300000   0.1938          5    

=== TwoRoom  lagrange_mult=0.5  (20260802_232246) ===
steps           avg loss_total  n    
     0-5000     0.4637          6    
  5000-10000    0.4481          5    
 10000-15000    0.4524          5    
 15000-20000    0.4479          5    
 20000-25000    0.4147          5    
 25000-30000    0.4307          5    
 30000-35000    0.3983          5    
 35000-40000    0.3879          5    
 40000-45000    0.3583          5    
 45000-50000    0.3871          5    
 50000-55000    0.3395          5    
 55000-60000    0.2982          5    
 60000-65000    0.3880          5    
 65000-70000    0.2990          5    
 70000-75000    0.3439          5    
 75000-80000    0.3165          5    
 80000-85000    0.3389          5    
 85000-90000    0.2856          5    
 90000-95000    0.3333          5    
 95000-100000   0.2985          5    
100000-105000   0.3177          5    
105000-110000   0.3168          5    
110000-115000   0.3450          5    
115000-120000   0.3295          5    
120000-125000   0.3697          5    
125000-130000   0.3188          5    
130000-135000   0.3042          5    
135000-140000   0.3111          5    
140000-145000   0.3061          5    
145000-150000   0.2840          5    
150000-155000   0.2172          5    
155000-160000   0.2715          5    
160000-165000   0.3406          5    
165000-170000   0.1996          5    
170000-175000   0.2632          5    
175000-180000   0.1668          5    
180000-185000   0.2248          5    
185000-190000   0.2156          5    
190000-195000   0.3029          5    
195000-200000   0.3210          5    
200000-205000   0.0884          5    
205000-210000   0.3950          5    
210000-215000   0.3198          5    
215000-220000   0.2725          5    
